Tipo;Carimbo de Data/Hora;Tempo Total;Elemento;Chegando;Saindo
service;10/11/2025, 07:41:00.790;12.02s;37;2025-11-10 07:41:00.790;2025-11-10 07:41:12.807
service;10/11/2025, 07:41:14.176;15.08s;38;2025-11-10 07:41:14.176;2025-11-10 07:41:29.258
service;10/11/2025, 07:41:29.984;11.66s;39;2025-11-10 07:41:29.984;2025-11-10 07:41:41.640
service;10/11/2025, 07:41:42.835;27.98s;40;2025-11-10 07:41:42.835;2025-11-10 07:42:10.817
service;10/11/2025, 07:42:11.605;16.57s;41;2025-11-10 07:42:11.605;2025-11-10 07:42:28.174
service;10/11/2025, 07:42:29.051;18.44s;42;2025-11-10 07:42:29.051;2025-11-10 07:42:47.492
service;10/11/2025, 07:42:48.262;22.28s;43;2025-11-10 07:42:48.262;2025-11-10 07:43:10.542
service;10/11/2025, 07:43:11.073;15.68s;44;2025-11-10 07:43:11.073;2025-11-10 07:43:26.753
service;10/11/2025, 07:43:27.385;22.64s;45;2025-11-10 07:43:27.385;2025-11-10 07:43:50.028
service;10/11/2025, 07:43:50.779;25.25s;46;2025-11-10 07:43:50.779;2025-11-10 07:44:16.027
service;10/11/2025, 07:44:16.644;26.06s;47;2025-11-10 07:44:16.644;2025-11-10 07:44:42.702
service;10/11/2025, 07:44:43.380;39.73s;48;2025-11-10 07:44:43.380;2025-11-10 07:45:23.111
service;10/11/2025, 07:45:23.740;13.90s;49;2025-11-10 07:45:23.740;2025-11-10 07:45:37.639
service;10/11/2025, 07:45:38.640;12.39s;50;2025-11-10 07:45:38.640;2025-11-10 07:45:51.028
service;10/11/2025, 07:45:51.808;11.27s;51;2025-11-10 07:45:51.808;2025-11-10 07:46:03.079
service;10/11/2025, 07:46:03.977;18.10s;52;2025-11-10 07:46:03.977;2025-11-10 07:46:22.077
service;10/11/2025, 07:46:22.736;12.74s;53;2025-11-10 07:46:22.736;2025-11-10 07:46:35.474
service;10/11/2025, 07:46:35.999;14.77s;54;2025-11-10 07:46:35.999;2025-11-10 07:46:50.765
service;10/11/2025, 07:46:51.284;17.24s;55;2025-11-10 07:46:51.284;2025-11-10 07:47:08.522
