Tipo;Carimbo de Data/Hora;Tempo Total;Elemento;Chegando;Saindo
arrival;10/11/2025, 07:36:16.156;0.00s;71;10/11/2025, 07:36:16.156;--
arrival;10/11/2025, 07:36:20.192;0.00s;72;10/11/2025, 07:36:20.192;--
arrival;10/11/2025, 07:36:31.753;0.00s;73;10/11/2025, 07:36:31.753;--
arrival;10/11/2025, 07:36:34.091;0.00s;74;10/11/2025, 07:36:34.091;--
arrival;10/11/2025, 07:37:23.084;0.00s;75;10/11/2025, 07:37:23.084;--
arrival;10/11/2025, 07:37:23.772;0.00s;76;10/11/2025, 07:37:23.772;--
arrival;10/11/2025, 07:37:24.452;0.00s;77;10/11/2025, 07:37:24.452;--
arrival;10/11/2025, 07:37:25.177;0.00s;78;10/11/2025, 07:37:25.177;--
arrival;10/11/2025, 07:37:25.833;0.00s;79;10/11/2025, 07:37:25.833;--
arrival;10/11/2025, 07:37:30.456;0.00s;80;10/11/2025, 07:37:30.456;--
arrival;10/11/2025, 07:38:03.064;0.00s;81;10/11/2025, 07:38:03.064;--
arrival;10/11/2025, 07:38:04.183;0.00s;82;10/11/2025, 07:38:04.183;--
arrival;10/11/2025, 07:38:09.855;0.00s;83;10/11/2025, 07:38:09.855;--
arrival;10/11/2025, 07:38:43.626;0.00s;84;10/11/2025, 07:38:43.626;--
arrival;10/11/2025, 07:39:04.774;0.00s;85;10/11/2025, 07:39:04.774;--
arrival;10/11/2025, 07:39:07.184;0.00s;86;10/11/2025, 07:39:07.184;--
arrival;10/11/2025, 07:39:18.565;0.00s;87;10/11/2025, 07:39:18.565;--
arrival;10/11/2025, 07:39:21.389;0.00s;88;10/11/2025, 07:39:21.389;--
arrival;10/11/2025, 07:39:22.380;0.00s;89;10/11/2025, 07:39:22.380;--
arrival;10/11/2025, 07:39:23.945;0.00s;90;10/11/2025, 07:39:23.945;--
arrival;10/11/2025, 07:39:25.862;0.00s;91;10/11/2025, 07:39:25.862;--
arrival;10/11/2025, 07:39:29.475;0.00s;92;10/11/2025, 07:39:29.475;--
