Tipo,Carimbo de Data/Hora,Tempo Total,Elemento,Chegando,Saindo
service,2025-07-11 07:35:49.203,8.99s,59,2025-07-11 07:35:49.203,2025-07-11 07:35:58.193
service,2025-07-11 07:35:59.534,8.17s,60,2025-07-11 07:35:59.534,2025-07-11 07:36:07.706
service,2025-07-11 07:36:08.802,17.98s,61,2025-07-11 07:36:08.802,2025-07-11 07:36:26.785
service,2025-07-11 07:36:27.805,5.20s,62,2025-07-11 07:36:27.805,2025-07-11 07:36:33.004
service,2025-07-11 07:36:34.024,6.24s,63,2025-07-11 07:36:34.024,2025-07-11 07:36:40.266
service,2025-07-11 07:36:43.544,6.84s,64,2025-07-11 07:36:43.544,2025-07-11 07:36:50.381
service,2025-07-11 07:36:52.323,9.80s,65,2025-07-11 07:36:52.323,2025-07-11 07:37:02.128
service,2025-07-11 07:37:02.948,5.67s,66,2025-07-11 07:37:02.948,2025-07-11 07:37:08.615
service,2025-07-11 07:37:10.077,22.12s,67,2025-07-11 07:37:10.077,2025-07-11 07:37:32.195
service,2025-07-11 07:37:33.179,10.96s,68,2025-07-11 07:37:33.179,2025-07-11 07:37:44.144
service,2025-07-11 07:37:45.679,10.63s,69,2025-07-11 07:37:45.679,2025-07-11 07:37:56.313
service,2025-07-11 07:37:57.583,7.72s,70,2025-07-11 07:37:57.583,2025-07-11 07:38:05.308
service,2025-07-11 07:38:06.373,5.03s,71,2025-07-11 07:38:06.373,2025-07-11 07:38:11.401
service,2025-07-11 07:38:12.573,5.75s,72,2025-07-11 07:38:12.573,2025-07-11 07:38:18.322
service,2025-07-11 07:38:19.554,6.83s,73,2025-07-11 07:38:19.554,2025-07-11 07:38:26.381
service,2025-07-11 07:38:27.803,7.24s,74,2025-07-11 07:38:27.803,2025-07-11 07:38:35.046
service,2025-07-11 07:38:35.986,5.33s,75,2025-07-11 07:38:35.986,2025-07-11 07:38:41.321
service,2025-07-11 07:38:43.546,4.74s,76,2025-07-11 07:38:43.546,2025-07-11 07:38:48.285
service,2025-07-11 07:38:50.055,14.51s,77,2025-07-11 07:38:50.055,2025-07-11 07:39:04.564
service,2025-07-11 07:39:06.135,4.98s,78,2025-07-11 07:39:06.135,2025-07-11 07:39:11.114
service,2025-07-11 07:39:11.797,6.49s,79,2025-07-11 07:39:11.797,2025-07-11 07:39:18.285
service,2025-07-11 07:39:18.912,6.83s,80,2025-07-11 07:39:18.912,2025-07-11 07:39:25.747
service,2025-07-11 07:39:26.604,6.09s,81,2025-07-11 07:39:26.604,2025-07-11 07:39:32.697
service,2025-07-11 07:39:34.269,20.22s,82,2025-07-11 07:39:34.269,2025-07-11 07:39:54.489
service,2025-07-11 07:39:57.563,8.94s,83,2025-07-11 07:39:57.563,2025-07-11 07:40:06.502
service,2025-07-11 07:40:07.539,5.20s,84,2025-07-11 07:40:07.539,2025-07-11 07:40:12.743
service,2025-07-11 07:40:13.512,9.87s,85,2025-07-11 07:40:13.512,2025-07-11 07:40:23.384
service,2025-07-11 07:40:24.810,10.05s,86,2025-07-11 07:40:24.810,2025-07-11 07:40:34.863
service,2025-07-11 07:40:37.495,14.21s,87,2025-07-11 07:40:37.495,2025-07-11 07:40:51.706
service,2025-07-11 07:40:53.047,5.57s,88,2025-07-11 07:40:53.047,2025-07-11 07:40:58.612
service,2025-07-11 07:40:59.831,8.32s,89,2025-07-11 07:40:59.831,2025-07-11 07:41:08.153
service,2025-07-11 07:41:09.479,21.31s,90,2025-07-11 07:41:09.479,2025-07-11 07:41:30.791
service,2025-07-11 07:41:31.804,7.64s,91,2025-07-11 07:41:31.804,2025-07-11 07:41:39.444
service,2025-07-11 07:41:40.587,5.53s,92,2025-07-11 07:41:40.587,2025-07-11 07:41:46.115
service,2025-07-11 07:41:47.694,9.56s,93,2025-07-11 07:41:47.694,2025-07-11 07:41:57.250
service,2025-07-11 07:41:59.432,11.52s,94,2025-07-11 07:41:59.432,2025-07-11 07:42:10.954
service,2025-07-11 07:42:11.916,6.84s,95,2025-07-11 07:42:11.916,2025-07-11 07:42:18.756
service,2025-07-11 07:42:20.976,7.26s,96,2025-07-11 07:42:20.976,2025-07-11 07:42:28.238
service,2025-07-11 07:42:31.180,10.67s,97,2025-07-11 07:42:31.180,2025-07-11 07:42:41.848
service,2025-07-11 07:42:42.763,41.38s,98,2025-07-11 07:42:42.763,2025-07-11 07:43:24.144
service,2025-07-11 07:43:25.076,24.61s,99,2025-07-11 07:43:25.076,2025-07-11 07:43:49.689
service,2025-07-11 07:43:50.572,11.51s,100,2025-07-11 07:43:50.572,2025-07-11 07:44:02.082
service,2025-07-11 07:44:02.747,18.36s,101,2025-07-11 07:44:02.747,2025-07-11 07:44:21.103
service,2025-07-11 07:44:23.028,14.80s,102,2025-07-11 07:44:23.028,2025-07-11 07:44:37.830
service,2025-07-11 07:44:38.371,21.66s,103,2025-07-11 07:44:38.371,2025-07-11 07:45:00.026
service,2025-07-11 07:45:00.795,6.70s,104,2025-07-11 07:45:00.795,2025-07-11 07:45:07.496
service,2025-07-11 07:45:09.350,5.38s,105,2025-07-11 07:45:09.350,2025-07-11 07:45:14.725
service,2025-07-11 07:45:15.916,12.23s,106,2025-07-11 07:45:15.916,2025-07-11 07:45:28.146
service,2025-07-11 07:45:28.839,7.46s,107,2025-07-11 07:45:28.839,2025-07-11 07:45:36.294
service,2025-07-11 07:45:37.042,6.57s,108,2025-07-11 07:45:37.042,2025-07-11 07:45:43.611
service,2025-07-11 07:45:44.442,3.26s,109,2025-07-11 07:45:44.442,2025-07-11 07:45:47.699
service,2025-07-11 07:45:48.662,0.89s,110,2025-07-11 07:45:48.662,2025-07-11 07:45:49.552
service,2025-07-11 07:45:52.255,7.52s,111,2025-07-11 07:45:52.255,2025-07-11 07:45:59.777
service,2025-07-11 07:46:02.801,10.21s,112,2025-07-11 07:46:02.801,2025-07-11 07:46:13.009
service,2025-07-11 07:46:14.285,15.87s,113,2025-07-11 07:46:14.285,2025-07-11 07:46:30.156
service,2025-07-11 07:46:31.739,7.76s,114,2025-07-11 07:46:31.739,2025-07-11 07:46:39.503
service,2025-07-11 07:46:49.690,12.43s,115,2025-07-11 07:46:49.690,2025-07-11 07:47:02.123
service,2025-07-11 07:47:02.933,3.67s,116,2025-07-11 07:47:02.933,2025-07-11 07:47:06.603
service,2025-07-11 07:47:07.470,3.12s,117,2025-07-11 07:47:07.470,2025-07-11 07:47:10.588
service,2025-07-11 07:47:11.519,2.63s,118,2025-07-11 07:47:11.519,2025-07-11 07:47:14.150
service,2025-07-11 07:47:17.548,4.33s,119,2025-07-11 07:47:17.548,2025-07-11 07:47:21.874
service,2025-07-11 07:47:23.859,5.57s,120,2025-07-11 07:47:23.859,2025-07-11 07:47:29.429
service,2025-07-11 07:47:31.525,8.23s,121,2025-07-11 07:47:31.525,2025-07-11 07:47:39.759
service,2025-07-11 07:47:42.411,14.84s,122,2025-07-11 07:47:42.411,2025-07-11 07:47:57.248
service,2025-07-11 07:48:00.020,21.18s,123,2025-07-11 07:48:00.020,2025-07-11 07:48:21.203
service,2025-07-11 07:48:21.790,27.85s,124,2025-07-11 07:48:21.790,2025-07-11 07:48:49.643
service,2025-07-11 07:48:50.789,8.27s,125,2025-07-11 07:48:50.789,2025-07-11 07:48:59.059
service,2025-07-11 07:49:00.407,5.63s,126,2025-07-11 07:49:00.407,2025-07-11 07:49:06.039
service,2025-07-11 07:49:07.105,4.00s,127,2025-07-11 07:49:07.105,2025-07-11 07:49:11.103
service,2025-07-11 07:49:12.367,6.60s,128,2025-07-11 07:49:12.367,2025-07-11 07:49:18.963
service,2025-07-11 07:49:20.466,5.08s,129,2025-07-11 07:49:20.466,2025-07-11 07:49:25.546
service,2025-07-11 07:49:27.014,10.12s,130,2025-07-11 07:49:27.014,2025-07-11 07:49:37.134
service,2025-07-11 07:49:47.217,4.13s,131,2025-07-11 07:49:47.217,2025-07-11 07:49:51.342
service,2025-07-11 07:49:51.938,7.41s,132,2025-07-11 07:49:51.938,2025-07-11 07:49:59.349
service,2025-07-11 07:49:59.851,8.51s,133,2025-07-11 07:49:59.851,2025-07-11 07:50:08.362
service,2025-07-11 07:50:09.672,8.75s,134,2025-07-11 07:50:09.672,2025-07-11 07:50:18.420
service,2025-07-11 07:50:19.415,18.14s,135,2025-07-11 07:50:19.415,2025-07-11 07:50:37.556
service,2025-07-11 07:50:38.956,12.01s,136,2025-07-11 07:50:38.956,2025-07-11 07:50:50.962
service,2025-07-11 07:50:53.281,11.12s,137,2025-07-11 07:50:53.281,2025-07-11 07:51:04.400
service,2025-07-11 07:51:05.010,8.16s,138,2025-07-11 07:51:05.010,2025-07-11 07:51:13.169
service,2025-07-11 07:51:15.042,13.95s,139,2025-07-11 07:51:15.042,2025-07-11 07:51:28.988
service,2025-07-11 07:51:30.412,5.37s,140,2025-07-11 07:51:30.412,2025-07-11 07:51:35.786
service,2025-07-11 07:51:37.703,5.36s,141,2025-07-11 07:51:37.703,2025-07-11 07:51:43.062
service,2025-07-11 07:51:43.852,10.04s,142,2025-07-11 07:51:43.852,2025-07-11 07:51:53.895
service,2025-07-11 07:51:59.247,2.90s,143,2025-07-11 07:51:59.247,2025-07-11 07:52:02.148
service,2025-07-11 07:52:03.177,9.08s,144,2025-07-11 07:52:03.177,2025-07-11 07:52:12.254
service,2025-07-11 07:52:13.016,3.24s,145,2025-07-11 07:52:13.016,2025-07-11 07:52:16.258
service,2025-07-11 07:52:17.202,15.06s,146,2025-07-11 07:52:17.202,2025-07-11 07:52:32.264
service,2025-07-11 07:52:32.795,12.77s,147,2025-07-11 07:52:32.795,2025-07-11 07:52:45.565
service,2025-07-11 07:52:46.532,8.34s,148,2025-07-11 07:52:46.532,2025-07-11 07:52:54.875
service,2025-07-11 07:52:57.436,28.80s,149,2025-07-11 07:52:57.436,2025-07-11 07:53:26.241
service,2025-07-11 07:53:29.021,16.06s,150,2025-07-11 07:53:29.021,2025-07-11 07:53:45.084
service,2025-07-11 07:53:46.208,12.51s,151,2025-07-11 07:53:46.208,2025-07-11 07:53:58.713
service,2025-07-11 07:53:59.620,19.18s,152,2025-07-11 07:53:59.620,2025-07-11 07:54:18.802
service,2025-07-11 07:54:19.459,13.06s,153,2025-07-11 07:54:19.459,2025-07-11 07:54:32.520
service,2025-07-11 07:54:33.308,18.52s,154,2025-07-11 07:54:33.308,2025-07-11 07:54:51.833
service,2025-07-11 07:54:54.937,21.31s,155,2025-07-11 07:54:54.937,2025-07-11 07:55:16.251
service,2025-07-11 07:55:17.390,22.66s,156,2025-07-11 07:55:17.390,2025-07-11 07:55:40.046
service,2025-07-11 07:55:40.758,7.21s,157,2025-07-11 07:55:40.758,2025-07-11 07:55:47.964
service,2025-07-11 07:55:51.749,12.15s,158,2025-07-11 07:55:51.749,2025-07-11 07:56:03.903
service,2025-07-11 07:56:06.714,8.60s,159,2025-07-11 07:56:06.714,2025-07-11 07:56:15.318
service,2025-07-11 07:56:16.937,19.25s,160,2025-07-11 07:56:16.937,2025-07-11 07:56:36.183
service,2025-07-11 07:56:44.884,8.43s,161,2025-07-11 07:56:44.884,2025-07-11 07:56:53.313
service,2025-07-11 07:56:55.623,6.19s,162,2025-07-11 07:56:55.623,2025-07-11 07:57:01.809
service,2025-07-11 07:57:03.060,10.73s,163,2025-07-11 07:57:03.060,2025-07-11 07:57:13.795
service,2025-07-11 07:57:14.342,6.10s,164,2025-07-11 07:57:14.342,2025-07-11 07:57:20.438
service,2025-07-11 07:57:22.469,7.87s,165,2025-07-11 07:57:22.469,2025-07-11 07:57:30.337
service,2025-07-11 07:57:31.991,6.96s,166,2025-07-11 07:57:31.991,2025-07-11 07:57:38.956
service,2025-07-11 07:57:40.516,9.78s,167,2025-07-11 07:57:40.516,2025-07-11 07:57:50.296
service,2025-07-11 07:57:50.860,11.95s,168,2025-07-11 07:57:50.860,2025-07-11 07:58:02.809
service,2025-07-11 07:58:03.867,5.38s,169,2025-07-11 07:58:03.867,2025-07-11 07:58:09.246
service,2025-07-11 07:58:10.343,4.54s,170,2025-07-11 07:58:10.343,2025-07-11 07:58:14.879
service,2025-07-11 07:58:18.058,6.82s,171,2025-07-11 07:58:18.058,2025-07-11 07:58:24.875
service,2025-07-11 07:58:26.212,7.50s,172,2025-07-11 07:58:26.212,2025-07-11 07:58:33.710
service,2025-07-11 07:58:35.754,14.49s,173,2025-07-11 07:58:35.754,2025-07-11 07:58:50.243
service,2025-07-11 07:58:56.734,6.60s,174,2025-07-11 07:58:56.734,2025-07-11 07:59:03.337
service,2025-07-11 07:59:05.432,42.82s,175,2025-07-11 07:59:05.432,2025-07-11 07:59:48.248
service,2025-07-11 07:59:49.174,15.07s,176,2025-07-11 07:59:49.174,2025-07-11 08:00:04.241
service,2025-07-11 08:00:05.005,6.77s,177,2025-07-11 08:00:05.005,2025-07-11 08:00:11.779
service,2025-07-11 08:00:13.040,15.73s,178,2025-07-11 08:00:13.040,2025-07-11 08:00:28.771
service,2025-07-11 08:00:30.300,5.49s,179,2025-07-11 08:00:30.300,2025-07-11 08:00:35.788
service,2025-07-11 08:00:36.508,17.45s,180,2025-07-11 08:00:36.508,2025-07-11 08:00:53.961
service,2025-07-11 08:00:54.924,7.02s,181,2025-07-11 08:00:54.924,2025-07-11 08:01:01.947
service,2025-07-11 08:01:02.686,6.23s,182,2025-07-11 08:01:02.686,2025-07-11 08:01:08.917
service,2025-07-11 08:01:09.997,10.44s,183,2025-07-11 08:01:09.997,2025-07-11 08:01:20.433
service,2025-07-11 08:01:21.127,8.08s,184,2025-07-11 08:01:21.127,2025-07-11 08:01:29.210
service,2025-07-11 08:01:30.399,16.52s,185,2025-07-11 08:01:30.399,2025-07-11 08:01:46.918
service,2025-07-11 08:01:47.827,5.20s,186,2025-07-11 08:01:47.827,2025-07-11 08:01:53.022
service,2025-07-11 08:01:54.045,6.69s,187,2025-07-11 08:01:54.045,2025-07-11 08:02:00.736
service,2025-07-11 08:02:01.220,4.93s,188,2025-07-11 08:02:01.220,2025-07-11 08:02:06.146
service,2025-07-11 08:02:08.114,28.65s,189,2025-07-11 08:02:08.114,2025-07-11 08:02:36.760
service,2025-07-11 08:02:38.185,13.63s,190,2025-07-11 08:02:38.185,2025-07-11 08:02:51.811
service,2025-07-11 08:02:52.830,6.54s,191,2025-07-11 08:02:52.830,2025-07-11 08:02:59.372
service,2025-07-11 08:02:59.961,7.32s,192,2025-07-11 08:02:59.961,2025-07-11 08:03:07.284
service,2025-07-11 08:03:08.419,16.48s,193,2025-07-11 08:03:08.419,2025-07-11 08:03:24.896
service,2025-07-11 08:03:25.701,18.14s,194,2025-07-11 08:03:25.701,2025-07-11 08:03:43.837
service,2025-07-11 08:03:44.445,9.13s,195,2025-07-11 08:03:44.445,2025-07-11 08:03:53.574
service,2025-07-11 08:03:54.132,10.21s,196,2025-07-11 08:03:54.132,2025-07-11 08:04:04.342
service,2025-07-11 08:04:06.060,8.48s,197,2025-07-11 08:04:06.060,2025-07-11 08:04:14.544
service,2025-07-11 08:04:15.638,5.99s,198,2025-07-11 08:04:15.638,2025-07-11 08:04:21.631
service,2025-07-11 08:04:22.383,19.59s,199,2025-07-11 08:04:22.383,2025-07-11 08:04:41.972
service,2025-07-11 08:04:42.741,9.35s,200,2025-07-11 08:04:42.741,2025-07-11 08:04:52.089
service,2025-07-11 08:04:52.550,4.21s,201,2025-07-11 08:04:52.550,2025-07-11 08:04:56.758
service,2025-07-11 08:04:57.682,5.48s,202,2025-07-11 08:04:57.682,2025-07-11 08:05:03.161
service,2025-07-11 08:05:03.809,8.94s,203,2025-07-11 08:05:03.809,2025-07-11 08:05:12.752
service,2025-07-11 08:05:13.255,13.01s,204,2025-07-11 08:05:13.255,2025-07-11 08:05:26.268
service,2025-07-11 08:05:31.690,13.05s,205,2025-07-11 08:05:31.690,2025-07-11 08:05:44.744
service,2025-07-11 08:05:46.159,13.84s,206,2025-07-11 08:05:46.159,2025-07-11 08:05:59.994
service,2025-07-11 08:06:01.708,10.07s,207,2025-07-11 08:06:01.708,2025-07-11 08:06:11.775
service,2025-07-11 08:06:13.365,11.15s,208,2025-07-11 08:06:13.365,2025-07-11 08:06:24.512
service,2025-07-11 08:06:27.462,11.94s,209,2025-07-11 08:06:27.462,2025-07-11 08:06:39.401
service,2025-07-11 08:06:41.768,15.13s,210,2025-07-11 08:06:41.768,2025-07-11 08:06:56.900
service,2025-07-11 08:06:57.548,6.24s,211,2025-07-11 08:06:57.548,2025-07-11 08:07:03.784
service,2025-07-11 08:07:07.574,3.44s,212,2025-07-11 08:07:07.574,2025-07-11 08:07:11.012
service,2025-07-11 08:07:11.454,8.42s,213,2025-07-11 08:07:11.454,2025-07-11 08:07:19.871
service,2025-07-11 08:07:21.608,16.29s,214,2025-07-11 08:07:21.608,2025-07-11 08:07:37.895
service,2025-07-11 08:07:47.541,5.03s,215,2025-07-11 08:07:47.541,2025-07-11 08:07:52.571
service,2025-07-11 08:07:54.269,7.63s,216,2025-07-11 08:07:54.269,2025-07-11 08:08:01.898
service,2025-07-11 08:08:14.678,6.24s,217,2025-07-11 08:08:14.678,2025-07-11 08:08:20.918
service,2025-07-11 08:08:23.460,25.84s,218,2025-07-11 08:08:23.460,2025-07-11 08:08:49.299
service,2025-07-11 08:08:49.995,43.58s,219,2025-07-11 08:08:49.995,2025-07-11 08:09:33.572
service,2025-07-11 08:09:38.158,27.15s,220,2025-07-11 08:09:38.158,2025-07-11 08:10:05.308
service,2025-07-11 08:10:08.716,21.88s,221,2025-07-11 08:10:08.716,2025-07-11 08:10:30.598
service,2025-07-11 08:10:37.386,3.59s,222,2025-07-11 08:10:37.386,2025-07-11 08:10:40.972
service,2025-07-11 08:11:02.983,4.70s,223,2025-07-11 08:11:02.983,2025-07-11 08:11:07.686
service,2025-07-11 08:11:24.626,5.30s,224,2025-07-11 08:11:24.626,2025-07-11 08:11:29.925
service,2025-07-11 08:11:30.972,8.98s,225,2025-07-11 08:11:30.972,2025-07-11 08:11:39.957
service,2025-07-11 08:11:40.461,5.51s,226,2025-07-11 08:11:40.461,2025-07-11 08:11:45.968
service,2025-07-11 08:11:46.737,4.34s,227,2025-07-11 08:11:46.737,2025-07-11 08:11:51.079
service,2025-07-11 08:11:52.537,14.64s,228,2025-07-11 08:11:52.537,2025-07-11 08:12:07.182
service,2025-07-11 08:12:10.300,6.94s,229,2025-07-11 08:12:10.300,2025-07-11 08:12:17.240
service,2025-07-11 08:12:22.225,8.62s,230,2025-07-11 08:12:22.225,2025-07-11 08:12:30.844
service,2025-07-11 08:12:32.257,4.79s,231,2025-07-11 08:12:32.257,2025-07-11 08:12:37.045
service,2025-07-11 08:12:38.348,4.46s,232,2025-07-11 08:12:38.348,2025-07-11 08:12:42.806
service,2025-07-11 08:12:43.661,7.00s,233,2025-07-11 08:12:43.661,2025-07-11 08:12:50.664
service,2025-07-11 08:12:53.934,19.16s,234,2025-07-11 08:12:53.934,2025-07-11 08:13:13.092
service,2025-07-11 08:13:14.243,9.91s,235,2025-07-11 08:13:14.243,2025-07-11 08:13:24.154
service,2025-07-11 08:13:25.462,16.53s,236,2025-07-11 08:13:25.462,2025-07-11 08:13:41.988
service,2025-07-11 08:13:42.912,13.67s,237,2025-07-11 08:13:42.912,2025-07-11 08:13:56.578
service,2025-07-11 08:13:57.011,8.81s,238,2025-07-11 08:13:57.011,2025-07-11 08:14:05.825
service,2025-07-11 08:14:06.340,7.22s,239,2025-07-11 08:14:06.340,2025-07-11 08:14:13.556
service,2025-07-11 08:14:14.039,12.99s,240,2025-07-11 08:14:14.039,2025-07-11 08:14:27.025
service,2025-07-11 08:14:28.019,5.01s,241,2025-07-11 08:14:28.019,2025-07-11 08:14:33.025
service,2025-07-11 08:14:36.089,8.13s,242,2025-07-11 08:14:36.089,2025-07-11 08:14:44.219
service,2025-07-11 08:14:45.819,6.21s,243,2025-07-11 08:14:45.819,2025-07-11 08:14:52.024
service,2025-07-11 08:14:53.456,23.91s,244,2025-07-11 08:14:53.456,2025-07-11 08:15:17.365
service,2025-07-11 08:15:17.870,17.36s,245,2025-07-11 08:15:17.870,2025-07-11 08:15:35.228
service,2025-07-11 08:15:36.165,13.21s,246,2025-07-11 08:15:36.165,2025-07-11 08:15:49.371
service,2025-07-11 08:15:49.938,7.09s,247,2025-07-11 08:15:49.938,2025-07-11 08:15:57.028
service,2025-07-11 08:15:58.203,7.56s,248,2025-07-11 08:15:58.203,2025-07-11 08:16:05.766
