Tipo;Carimbo de Data/Hora;Tempo Total;Elemento;Chegando;Saindo
arrival;07/11/2025, 07:35:40.050;0.00s;71;07/11/2025, 07:35:40.050;--
arrival;07/11/2025, 07:35:43.052;0.00s;72;07/11/2025, 07:35:43.052;--
arrival;07/11/2025, 07:35:46.175;0.00s;73;07/11/2025, 07:35:46.175;--
arrival;07/11/2025, 07:35:48.417;0.00s;74;07/11/2025, 07:35:48.417;--
arrival;07/11/2025, 07:35:52.707;0.00s;75;07/11/2025, 07:35:52.707;--
arrival;07/11/2025, 07:36:15.801;0.00s;76;07/11/2025, 07:36:15.801;--
arrival;07/11/2025, 07:36:16.919;0.00s;77;07/11/2025, 07:36:16.919;--
arrival;07/11/2025, 07:36:18.010;0.00s;78;07/11/2025, 07:36:18.010;--
arrival;07/11/2025, 07:36:25.353;0.00s;79;07/11/2025, 07:36:25.353;--
arrival;07/11/2025, 07:36:28.071;0.00s;80;07/11/2025, 07:36:28.071;--
arrival;07/11/2025, 07:36:41.695;0.00s;81;07/11/2025, 07:36:41.695;--
arrival;07/11/2025, 07:36:47.571;0.00s;82;07/11/2025, 07:36:47.571;--
arrival;07/11/2025, 07:36:55.396;0.00s;83;07/11/2025, 07:36:55.396;--
arrival;07/11/2025, 07:36:56.559;0.00s;84;07/11/2025, 07:36:56.559;--
arrival;07/11/2025, 07:37:10.412;0.00s;85;07/11/2025, 07:37:10.412;--
arrival;07/11/2025, 07:37:11.045;0.00s;86;07/11/2025, 07:37:11.045;--
arrival;07/11/2025, 07:37:11.652;0.00s;87;07/11/2025, 07:37:11.652;--
arrival;07/11/2025, 07:37:16.652;0.00s;88;07/11/2025, 07:37:16.652;--
arrival;07/11/2025, 07:37:17.194;0.00s;89;07/11/2025, 07:37:17.194;--
arrival;07/11/2025, 07:37:17.899;0.00s;90;07/11/2025, 07:37:17.899;--
arrival;07/11/2025, 07:37:37.111;0.00s;91;07/11/2025, 07:37:37.111;--
arrival;07/11/2025, 07:37:44.644;0.00s;92;07/11/2025, 07:37:44.644;--
arrival;07/11/2025, 07:37:46.840;0.00s;93;07/11/2025, 07:37:46.840;--
arrival;07/11/2025, 07:38:03.438;0.00s;94;07/11/2025, 07:38:03.438;--
arrival;07/11/2025, 07:38:05.485;0.00s;95;07/11/2025, 07:38:05.485;--
arrival;07/11/2025, 07:38:29.198;0.00s;96;07/11/2025, 07:38:29.198;--
arrival;07/11/2025, 07:38:30.400;0.00s;97;07/11/2025, 07:38:30.400;--
arrival;07/11/2025, 07:38:45.287;0.00s;98;07/11/2025, 07:38:45.287;--
arrival;07/11/2025, 07:38:54.771;0.00s;99;07/11/2025, 07:38:54.771;--
arrival;07/11/2025, 07:38:55.490;0.00s;100;07/11/2025, 07:38:55.490;--
arrival;07/11/2025, 07:38:56.519;0.00s;101;07/11/2025, 07:38:56.519;--
arrival;07/11/2025, 07:38:57.589;0.00s;102;07/11/2025, 07:38:57.589;--
arrival;07/11/2025, 07:39:17.892;0.00s;103;07/11/2025, 07:39:17.892;--
arrival;07/11/2025, 07:39:49.332;0.00s;104;07/11/2025, 07:39:49.332;--
arrival;07/11/2025, 07:39:53.493;0.00s;105;07/11/2025, 07:39:53.493;--
arrival;07/11/2025, 07:40:36.494;0.00s;106;07/11/2025, 07:40:36.494;--
arrival;07/11/2025, 07:40:44.248;0.00s;107;07/11/2025, 07:40:44.248;--
arrival;07/11/2025, 07:41:14.219;0.00s;108;07/11/2025, 07:41:14.219;--
arrival;07/11/2025, 07:41:15.132;0.00s;109;07/11/2025, 07:41:15.132;--
arrival;07/11/2025, 07:41:17.709;0.00s;110;07/11/2025, 07:41:17.709;--
arrival;07/11/2025, 07:41:18.630;0.00s;111;07/11/2025, 07:41:18.630;--
arrival;07/11/2025, 07:41:19.719;0.00s;112;07/11/2025, 07:41:19.719;--
arrival;07/11/2025, 07:41:36.754;0.00s;113;07/11/2025, 07:41:36.754;--
arrival;07/11/2025, 07:41:45.114;0.00s;114;07/11/2025, 07:41:45.114;--
arrival;07/11/2025, 07:42:04.049;0.00s;115;07/11/2025, 07:42:04.049;--
arrival;07/11/2025, 07:42:40.251;0.00s;116;07/11/2025, 07:42:40.251;--
arrival;07/11/2025, 07:42:44.298;0.00s;117;07/11/2025, 07:42:44.298;--
arrival;07/11/2025, 07:42:46.301;0.00s;118;07/11/2025, 07:42:46.301;--
arrival;07/11/2025, 07:42:59.462;0.00s;119;07/11/2025, 07:42:59.462;--
arrival;07/11/2025, 07:43:05.074;0.00s;120;07/11/2025, 07:43:05.074;--
arrival;07/11/2025, 07:43:08.229;0.00s;121;07/11/2025, 07:43:08.229;--
arrival;07/11/2025, 07:43:11.211;0.00s;122;07/11/2025, 07:43:11.211;--
arrival;07/11/2025, 07:43:14.560;0.00s;123;07/11/2025, 07:43:14.560;--
arrival;07/11/2025, 07:43:16.277;0.00s;124;07/11/2025, 07:43:16.277;--
